Date,Responses,ObjectId
2023/01/11,472,791
2023/01/12,487,792
2023/01/13,412,793
2023/01/14,400,794
2023/01/15,442,795
2023/01/16,455,796
2023/01/17,447,797
2023/01/18,474,798
2023/01/19,486,799
2023/01/20,512,800
2023/07/08,525,801
2023/07/09,526,802
2023/07/10,536,803
2023/07/11,554,804
2023/07/12,517,805
2023/07/13,538,806
2023/07/14,649,807
2023/07/15,633,808
2023/07/16,539,809
2023/07/17,592,810
2023/07/18,463,811
2023/07/19,625,812
2023/07/20,629,813
2023/07/21,397,814
2023/07/22,484,815
2023/07/23,549,816
2023/07/24,528,817
2023/07/25,496,818
2023/07/26,556,819
2023/07/27,460,820
2023/07/28,542,821
2023/07/29,526,822
2023/07/30,447,823
2023/07/31,621,824
2023/08/01,472,825
2023/08/02,587,826
2023/08/03,498,827
2023/08/04,514,828
2023/08/05,463,829
2023/08/06,526,830
2023/08/07,427,831
2023/08/08,614,832
2023/08/09,577,833
2023/08/10,664,834
2023/08/11,595,835
2023/08/12,482,836
2023/08/13,554,837
2023/08/14,559,838
2023/08/15,584,839
2023/08/16,583,840
2023/08/17,565,841
2023/08/18,541,842
2023/08/19,503,843
2023/08/20,550,844
2023/08/21,479,845
2023/08/22,546,846
2023/08/23,519,847
2023/08/24,534,848
2023/08/25,480,849
2023/08/26,421,850
2023/08/27,466,851
2023/08/28,526,852
2023/08/29,558,853
2023/08/30,495,854
2023/08/31,557,855
2023/09/01,578,856
2023/09/02,531,857
2023/09/03,575,858
2023/09/04,465,859
2023/11/03,571,860
2023/11/04,536,861
2023/11/05,678,862
2023/11/06,572,863
2023/11/07,592,864
2023/11/08,520,865
2023/11/09,562,866
2023/11/10,531,867
2023/11/11,532,868
2023/11/12,517,869
2023/11/13,507,870
2023/11/14,613,871
2023/11/15,489,872
2023/11/16,546,873
2023/11/17,579,874
2023/11/18,575,875
2023/11/19,433,876
2023/11/20,504,877
2023/11/21,512,878
2023/11/22,537,879
2023/11/23,563,880
2023/11/24,496,881
2023/11/25,515,882
2023/11/26,540,883
2023/03/12,493,884
2023/11/27,535,885
2023/11/28,549,886
2023/11/29,516,887
2023/11/30,563,888
2023/12/01,549,889
2023/12/02,614,890
2023/12/03,558,891
2023/12/04,573,892
2023/12/05,574,893
2023/12/06,542,894
2023/12/07,595,895
2023/12/08,565,896
2023/12/09,478,897
2023/12/10,556,898
2023/12/11,555,899
2023/12/12,569,900
2023/12/13,540,901
2023/12/14,589,902
2023/12/15,597,903
2023/12/16,571,904
2023/12/17,499,905
2023/12/18,625,906
2023/12/19,506,907
2023/12/20,554,908
2023/12/21,527,909
2023/12/22,520,910
2023/12/23,506,911
2023/12/24,401,912
2023/12/25,438,913
2023/12/26,501,914
2023/12/27,519,915
2023/12/28,509,916
2023/12/29,509,917
2023/12/30,574,918
2023/12/31,441,919
2023/05/10,600,920
2023/03/13,506,921
2023/03/14,448,922
2023/03/15,533,923
2023/03/16,544,924
2023/03/17,508,925
2023/03/18,491,926
2023/03/19,428,927
2023/03/20,488,928
2023/03/21,545,929
2023/03/22,469,930
2023/03/23,422,931
2023/03/24,445,932
2023/03/25,556,933
2023/03/26,462,934
2023/03/27,557,935
2023/03/28,509,936
2023/03/29,489,937
2023/03/30,453,938
2023/03/31,581,939
2023/04/01,519,940
2023/04/02,455,941
2023/04/03,582,942
2023/04/04,598,943
2023/04/05,449,944
2023/04/06,625,945
2023/04/07,506,946
2023/04/08,469,947
2023/04/09,464,948
2023/04/10,424,949
2023/04/11,580,950
2023/04/12,663,951
2023/04/13,601,952
2023/04/14,692,953
2023/04/15,562,954
2023/04/16,544,955
2023/04/17,540,956
2023/04/18,457,957
2023/04/19,443,958
2023/04/20,521,959
2023/04/21,499,960
2023/04/22,541,961
2023/04/23,452,962
2023/04/24,501,963
2023/04/25,493,964
2023/04/26,445,965
2023/04/27,544,966
2023/04/28,523,967
2023/04/29,485,968
2023/04/30,530,969
2023/05/01,542,970
2023/05/02,506,971
2023/05/03,500,972
2023/05/11,598,973
2023/05/04,529,974
2023/05/12,574,975
2023/05/05,556,976
2023/05/13,428,977
2023/05/06,483,978
2023/05/14,479,979
2023/05/07,527,980
2023/05/15,530,981
2023/05/08,527,982
2023/05/16,445,983
2023/05/09,529,984
2023/05/17,432,985
2023/05/18,469,986
2023/05/19,500,987
2023/05/20,431,988
2023/05/21,514,989
2023/05/22,454,990
2023/05/23,547,991
2023/05/24,437,992
2023/05/25,470,993
2023/05/26,588,994
2023/05/27,509,995
2023/05/28,553,996
